Variable,Importance
mom_median_pre,0.034475437291759954
slope_mean_pre,0.025931220120243587
hferst_expr_pre,0.005546091445450994
hferst_expe_pre,0.004534916039303732
hferst_prob_pre,8.492373750316244e-4
bmi,6.164464425701761e-4
ctq,2.6471769855468174e-4
hferst_avoid_pre,1.962032393079577e-4
icd_f33_2,9.98095238095239e-5
icd_f32_2,0
icd_f34_1,-6.175430294393147e-5
bmmr_entr_pre,-9.019072183384669e-5
icd_f33_0,-1.2919037260039544e-4
hferst_rum_pre,-1.5148331786569403e-4
icd_f32_0,-1.8715821788577213e-4
icd_f32_1,-2.5234284240011816e-4
hdrs_pre,-3.568902452321431e-4
bmmr_stro_pre,-3.8190276383853614e-4
bmmr_sol_pre,-6.175701034049336e-4
bdi_pre,-6.64521448983716e-4
icd_f33_1,-6.686360685015514e-4
bmmr_tot_pre,-0.001159289957060021
bmmr_mw_pre,-0.0013062569021617195
bmmr_dis_pre,-0.0013433734427571245
bmmr_div_pre,-0.0013569616135948293
hferst_soc_pre,-0.0014986661592294706
hferst_reapp_pre,-0.0015827414245201895
hferst_accept_pre,-0.0017344822970147803
study_cohort,-0.002079922013400338
bmmr_rev_pre,-0.0022118835450846575
age,-0.0026903677781519295
mom_sd_pre,-0.003889080158754522
