model,.metric,mean,std_err
rf,roc_auc,0.73953081232493,0.02751475582916327
logit,roc_auc,0.6050461613216715,0.02523570521017
xgb,roc_auc,0.5101587301587301,0.002088939744665259
logit,accuracy,0.6120445269016698,0.019402059499967657
logit,pr_auc,0.7670279299309911,0.020296771055218238
logit,sens,0.8162099125364431,0.02378731710536179
logit,spec,0.2869387755102041,0.030699700667454952
rf,accuracy,0.6672513368983957,0.02321257748061843
rf,pr_auc,0.8465733384262796,0.018867014697301603
rf,sens,0.8345658263305322,0.02431106849967337
rf,spec,0.3988235294117647,0.0463042537583099
xgb,accuracy,0.6152606060606061,0.005017793194703311
xgb,pr_auc,0.8043861265718408,0.0031957371640116694
xgb,sens,0.9762539682539683,0.004441477770211803
xgb,spec,0.03966666666666667,0.005648986931438694
