term,estimate,penalty
mom_median_pre,-0.08820795720667715,1
bdi_pre,0,1
hdrs_pre,0,1
mom_sd_pre,0,1
slope_mean_pre,0,1
age,0,1
bmi,0,1
ctq,0,1
study_cohort,0,1
icd_f32_0,0,1
icd_f32_1,0,1
icd_f32_2,0,1
icd_f33_0,0,1
icd_f33_1,0,1
icd_f33_2,0,1
icd_f34_1,0,1
hferst_accept_pre,0,1
hferst_rum_pre,0,1
hferst_avoid_pre,0,1
hferst_expr_pre,0,1
hferst_expe_pre,0,1
hferst_prob_pre,0,1
hferst_reapp_pre,0,1
hferst_soc_pre,0,1
bmmr_dis_pre,0,1
bmmr_div_pre,0,1
bmmr_entr_pre,0,1
bmmr_mw_pre,0,1
bmmr_sol_pre,0,1
bmmr_rev_pre,0,1
bmmr_stro_pre,0,1
bmmr_tot_pre,0,1
