Feature,Gain,Cover,Frequency
slope_mean_pre,0.29075563256177167,0.15671592209762666,0.09090909090909091
mom_median_pre,0.14512792198897298,0.09897638654624671,0.09090909090909091
age,0.13685816368298986,0.160072587765736,0.18181818181818182
hferst_rum_pre,0.10441699267120919,0.09450753293052043,0.09090909090909091
bdi_pre,0.08528578457080929,0.0789504849104042,0.09090909090909091
bmi,0.0815604159494284,0.08072044573834464,0.09090909090909091
hferst_expr_pre,0.06408408223347559,0.09945433517734001,0.09090909090909091
hferst_accept_pre,0.045628017341072906,0.07960885561452717,0.09090909090909091
hferst_avoid_pre,0.026802643629645462,0.07595558311727656,0.09090909090909091
bmmr_rev_pre,0.01948034537062462,0.07503786610197763,0.09090909090909091
