penalty,mixture,.metric,.estimator,mean,n,std_err,.config
1e-5,0,accuracy,binary,0.5810909090909091,25,0.030770276523869135,Preprocessor1_Model01
1e-5,0,pr_auc,binary,0.7675358001786573,25,0.02372715333808276,Preprocessor1_Model01
1e-5,0,roc_auc,binary,0.6285714285714286,25,0.03202690726741573,Preprocessor1_Model01
1e-4,0,accuracy,binary,0.5810909090909091,25,0.030770276523869135,Preprocessor1_Model02
1e-4,0,pr_auc,binary,0.7675358001786573,25,0.02372715333808276,Preprocessor1_Model02
1e-4,0,roc_auc,binary,0.6285714285714286,25,0.03202690726741573,Preprocessor1_Model02
0.001,0,accuracy,binary,0.5810909090909091,25,0.030770276523869135,Preprocessor1_Model03
0.001,0,pr_auc,binary,0.7675358001786573,25,0.02372715333808276,Preprocessor1_Model03
0.001,0,roc_auc,binary,0.6285714285714286,25,0.03202690726741573,Preprocessor1_Model03
0.01,0,accuracy,binary,0.5810909090909091,25,0.030770276523869135,Preprocessor1_Model04
0.01,0,pr_auc,binary,0.7675358001786573,25,0.02372715333808276,Preprocessor1_Model04
0.01,0,roc_auc,binary,0.6285714285714286,25,0.03202690726741573,Preprocessor1_Model04
0.1,0,accuracy,binary,0.604,25,0.024104227307770794,Preprocessor1_Model05
0.1,0,pr_auc,binary,0.7706663402734831,25,0.024858879988476617,Preprocessor1_Model05
0.1,0,roc_auc,binary,0.6319047619047619,25,0.03294609250484599,Preprocessor1_Model05
1,0,accuracy,binary,0.6214545454545455,25,0.01760353082539583,Preprocessor1_Model06
1,0,pr_auc,binary,0.780458977530406,25,0.02360996312465384,Preprocessor1_Model06
1,0,roc_auc,binary,0.6369047619047619,25,0.0315139083141644,Preprocessor1_Model06
10,0,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model07
10,0,pr_auc,binary,0.7850341853913282,25,0.02381221314191994,Preprocessor1_Model07
10,0,roc_auc,binary,0.6421428571428571,25,0.03163233608696917,Preprocessor1_Model07
1e-5,0.16666666666666666,accuracy,binary,0.6007272727272727,25,0.026721293909714894,Preprocessor1_Model08
1e-5,0.16666666666666666,pr_auc,binary,0.7321151652580223,25,0.02647277607044361,Preprocessor1_Model08
1e-5,0.16666666666666666,roc_auc,binary,0.6085714285714285,25,0.03426159314638176,Preprocessor1_Model08
1e-4,0.16666666666666666,accuracy,binary,0.6007272727272727,25,0.026721293909714894,Preprocessor1_Model09
1e-4,0.16666666666666666,pr_auc,binary,0.7321151652580223,25,0.02647277607044361,Preprocessor1_Model09
1e-4,0.16666666666666666,roc_auc,binary,0.6085714285714285,25,0.03426159314638176,Preprocessor1_Model09
0.001,0.16666666666666666,accuracy,binary,0.6054545454545455,25,0.029095643554133688,Preprocessor1_Model10
0.001,0.16666666666666666,pr_auc,binary,0.7341819040747612,25,0.027088396209849337,Preprocessor1_Model10
