mtry,min_n,.metric,.estimator,mean,n,std_err,.config
13,6,accuracy,binary,0.6683636363636364,25,0.026907248094147424,Preprocessor1_Model01
13,6,pr_auc,binary,0.856737579880437,25,0.018297850731969788,Preprocessor1_Model01
13,6,roc_auc,binary,0.7471428571428571,25,0.029448989937083364,Preprocessor1_Model01
12,6,accuracy,binary,0.6763636363636364,25,0.025573315982838962,Preprocessor1_Model02
12,6,pr_auc,binary,0.8507455163883735,25,0.019832247182325322,Preprocessor1_Model02
12,6,roc_auc,binary,0.7447619047619047,25,0.027694717086429215,Preprocessor1_Model02
8,3,accuracy,binary,0.645090909090909,25,0.022657346974013233,Preprocessor1_Model03
8,3,pr_auc,binary,0.8405065965780252,25,0.016950650704160807,Preprocessor1_Model03
8,3,roc_auc,binary,0.724047619047619,25,0.027298616717312995,Preprocessor1_Model03
11,8,accuracy,binary,0.6759999999999999,25,0.02181742422927143,Preprocessor1_Model04
11,8,pr_auc,binary,0.856546880368309,25,0.020076372605137276,Preprocessor1_Model04
11,8,roc_auc,binary,0.7540476190476191,25,0.027710491067333032,Preprocessor1_Model04
5,10,accuracy,binary,0.6523636363636364,25,0.02223267889884806,Preprocessor1_Model05
5,10,pr_auc,binary,0.830498161891019,25,0.020015845150370182,Preprocessor1_Model05
5,10,roc_auc,binary,0.7219047619047619,25,0.025589515787059657,Preprocessor1_Model05
10,5,accuracy,binary,0.6683636363636364,25,0.023972665793235426,Preprocessor1_Model06
10,5,pr_auc,binary,0.8434312684669828,25,0.01805477479889753,Preprocessor1_Model06
10,5,roc_auc,binary,0.7345238095238096,25,0.026613201078700188,Preprocessor1_Model06
8,7,accuracy,binary,0.6756363636363636,25,0.021285932187501425,Preprocessor1_Model07
8,7,pr_auc,binary,0.8471572699786986,25,0.018110662952158314,Preprocessor1_Model07
8,7,roc_auc,binary,0.7419047619047618,25,0.027511936528523556,Preprocessor1_Model07
7,2,accuracy,binary,0.6567272727272727,25,0.02236856314294438,Preprocessor1_Model08
7,2,pr_auc,binary,0.830470916649488,25,0.019698229840354763,Preprocessor1_Model08
7,2,roc_auc,binary,0.7185714285714285,25,0.02608320383499328,Preprocessor1_Model08
5,6,accuracy,binary,0.6454545454545454,25,0.021557789590099893,Preprocessor1_Model09
5,6,pr_auc,binary,0.8338855047069332,25,0.019542268567042807,Preprocessor1_Model09
5,6,roc_auc,binary,0.7261904761904762,25,0.027020575290693953,Preprocessor1_Model09
11,2,accuracy,binary,0.6607272727272727,25,0.02396462038720894,Preprocessor1_Model10
11,2,pr_auc,binary,0.848597866419295,25,0.018146662810095075,Preprocessor1_Model10
11,2,roc_auc,binary,0.7390476190476191,25,0.02824649892351493,Preprocessor1_Model10
5,8,accuracy,binary,0.6454545454545454,25,0.019398673664580875,Preprocessor1_Model11
5,8,pr_auc,binary,0.8230519824091252,25,0.02041359919920572,Preprocessor1_Model11
5,8,roc_auc,binary,0.7114285714285714,25,0.02641301558493936,Preprocessor1_Model11
17,9,accuracy,binary,0.6839999999999999,25,0.02273502897952243,Preprocessor1_Model12
17,9,pr_auc,binary,0.8556137737923452,25,0.020489245677678403,Preprocessor1_Model12
17,9,roc_auc,binary,0.7571428571428571,25,0.028649859282130263,Preprocessor1_Model12
11,10,accuracy,binary,0.68,25,0.02437652305053077,Preprocessor1_Model13
11,10,pr_auc,binary,0.8572655466226895,25,0.01767594082796,Preprocessor1_Model13
11,10,roc_auc,binary,0.7526190476190476,25,0.026604501662169246,Preprocessor1_Model13
17,7,accuracy,binary,0.6839999999999999,25,0.0260338834098843,Preprocessor1_Model14
17,7,pr_auc,binary,0.8618282828282828,25,0.018141031591789775,Preprocessor1_Model14
17,7,roc_auc,binary,0.758095238095238,25,0.029067047236893646,Preprocessor1_Model14
6,2,accuracy,binary,0.6647272727272727,25,0.02065271011905479,Preprocessor1_Model15
6,2,pr_auc,binary,0.8355860303717446,25,0.01678153248149512,Preprocessor1_Model15
6,2,roc_auc,binary,0.723452380952381,25,0.02466345661529754,Preprocessor1_Model15
12,7,accuracy,binary,0.6759999999999999,25,0.02304552925694662,Preprocessor1_Model16
12,7,pr_auc,binary,0.8589009997938569,25,0.01737629556206009,Preprocessor1_Model16
12,7,roc_auc,binary,0.7526190476190476,25,0.028614963525507724,Preprocessor1_Model16
16,7,accuracy,binary,0.6839999999999999,25,0.0260338834098843,Preprocessor1_Model17
16,7,pr_auc,binary,0.8609225761011475,25,0.021136039171426278,Preprocessor1_Model17
16,7,roc_auc,binary,0.7645238095238095,25,0.030520258937193644,Preprocessor1_Model17
