mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
12,1289,16,2,1.2019208485698245,0.32320049399238965,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model01
12,1289,16,2,1.2019208485698245,0.32320049399238965,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model01
12,1289,16,2,1.2019208485698245,0.32320049399238965,roc_auc,binary,0.5,25,0,Preprocessor1_Model01
7,1431,13,2,1.6339679430538392,3.259851849438937e-9,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model02
7,1431,13,2,1.6339679430538392,3.259851849438937e-9,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model02
7,1431,13,2,1.6339679430538392,3.259851849438937e-9,roc_auc,binary,0.5,25,0,Preprocessor1_Model02
17,345,3,2,1.8401936997224613,0.1016727516942125,accuracy,binary,0.6563636363636364,25,0.019263291000379174,Preprocessor1_Model03
17,345,3,2,1.8401936997224613,0.1016727516942125,pr_auc,binary,0.8147612863327149,25,0.017874986816984104,Preprocessor1_Model03
17,345,3,2,1.8401936997224613,0.1016727516942125,roc_auc,binary,0.6971428571428572,25,0.024411584412215838,Preprocessor1_Model03
10,1276,6,3,1.0255135478780015,4.784617118946249e-4,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model04
10,1276,6,3,1.0255135478780015,4.784617118946249e-4,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model04
10,1276,6,3,1.0255135478780015,4.784617118946249e-4,roc_auc,binary,0.5,25,0,Preprocessor1_Model04
13,494,16,3,1.1350536427464315,3.798276884063516e-5,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model05
13,494,16,3,1.1350536427464315,3.798276884063516e-5,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model05
13,494,16,3,1.1350536427464315,3.798276884063516e-5,roc_auc,binary,0.5,25,0,Preprocessor1_Model05
13,312,6,3,1.1540661869259279,0.02430111253440548,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model06
13,312,6,3,1.1540661869259279,0.02430111253440548,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model06
13,312,6,3,1.1540661869259279,0.02430111253440548,roc_auc,binary,0.5,25,0,Preprocessor1_Model06
14,915,15,3,1.1722445903415337,1.9099840758133175e-4,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model07
14,915,15,3,1.1722445903415337,1.9099840758133175e-4,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model07
14,915,15,3,1.1722445903415337,1.9099840758133175e-4,roc_auc,binary,0.5,25,0,Preprocessor1_Model07
12,505,15,3,1.2211466120358252,3.469891813890316e-8,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model08
12,505,15,3,1.2211466120358252,3.469891813890316e-8,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model08
12,505,15,3,1.2211466120358252,3.469891813890316e-8,roc_auc,binary,0.5,25,0,Preprocessor1_Model08
14,949,8,3,1.5108565690814375,0.00123314021360559,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model09
14,949,8,3,1.5108565690814375,0.00123314021360559,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model09
14,949,8,3,1.5108565690814375,0.00123314021360559,roc_auc,binary,0.5,25,0,Preprocessor1_Model09
11,1181,8,4,1.0704585946603222,3.3579354307798326e-8,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model10
11,1181,8,4,1.0704585946603222,3.3579354307798326e-8,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model10
11,1181,8,4,1.0704585946603222,3.3579354307798326e-8,roc_auc,binary,0.5,25,0,Preprocessor1_Model10
13,1319,20,4,1.1842084583452985,8.846599041242739e-8,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model11
13,1319,20,4,1.1842084583452985,8.846599041242739e-8,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model11
13,1319,20,4,1.1842084583452985,8.846599041242739e-8,roc_auc,binary,0.5,25,0,Preprocessor1_Model11
17,1257,14,4,1.2109017860352551,0.0011795884209416425,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model12
17,1257,14,4,1.2109017860352551,0.0011795884209416425,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model12
17,1257,14,4,1.2109017860352551,0.0011795884209416425,roc_auc,binary,0.5,25,0,Preprocessor1_Model12
6,1365,5,4,1.6520397107729163,7.639183721219094e-4,accuracy,binary,0.6010909090909091,25,0.015323149091215724,Preprocessor1_Model13
6,1365,5,4,1.6520397107729163,7.639183721219094e-4,pr_auc,binary,0.7311818181818182,25,0.015497385901138536,Preprocessor1_Model13
6,1365,5,4,1.6520397107729163,7.639183721219094e-4,roc_auc,binary,0.5221428571428571,25,0.020137237010992494,Preprocessor1_Model13
11,259,14,5,1.0715829853587744,1.712358109963188e-5,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model14
11,259,14,5,1.0715829853587744,1.712358109963188e-5,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model14
11,259,14,5,1.0715829853587744,1.712358109963188e-5,roc_auc,binary,0.5,25,0,Preprocessor1_Model14
16,405,6,5,1.1360630787067716,1.3122268442901345e-6,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model15
16,405,6,5,1.1360630787067716,1.3122268442901345e-6,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model15
16,405,6,5,1.1360630787067716,1.3122268442901345e-6,roc_auc,binary,0.5,25,0,Preprocessor1_Model15
17,336,15,5,1.3417308059552904,7.49222562031806e-8,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model16
17,336,15,5,1.3417308059552904,7.49222562031806e-8,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model16
17,336,15,5,1.3417308059552904,7.49222562031806e-8,roc_auc,binary,0.5,25,0,Preprocessor1_Model16
8,1122,15,5,1.459208126820396,6.719773530718102e-10,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model17
8,1122,15,5,1.459208126820396,6.719773530718102e-10,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model17
8,1122,15,5,1.459208126820396,6.719773530718102e-10,roc_auc,binary,0.5,25,0,Preprocessor1_Model17
6,634,16,5,1.5627859969365263,7.659664439951053e-9,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model18
6,634,16,5,1.5627859969365263,7.659664439951053e-9,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model18
6,634,16,5,1.5627859969365263,7.659664439951053e-9,roc_auc,binary,0.5,25,0,Preprocessor1_Model18
6,1136,10,5,1.5717949913703935,1.974176919917114e-5,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model19
6,1136,10,5,1.5717949913703935,1.974176919917114e-5,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model19
6,1136,10,5,1.5717949913703935,1.974176919917114e-5,roc_auc,binary,0.5,25,0,Preprocessor1_Model19
8,678,16,5,1.7034872291135608,12.011088339823381,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model20
8,678,16,5,1.7034872291135608,12.011088339823381,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model20
8,678,16,5,1.7034872291135608,12.011088339823381,roc_auc,binary,0.5,25,0,Preprocessor1_Model20
10,495,15,5,1.7510448988602547,3.874048719809129e-6,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model21
10,495,15,5,1.7510448988602547,3.874048719809129e-6,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model21
10,495,15,5,1.7510448988602547,3.874048719809129e-6,roc_auc,binary,0.5,25,0,Preprocessor1_Model21
14,483,9,5,1.7702865333875313,19.17697523229199,accuracy,binary,0.6145454545454545,25,0.0036363636363636377,Preprocessor1_Model22
14,483,9,5,1.7702865333875313,19.17697523229199,pr_auc,binary,0.8072727272727273,25,0.0018181818181818078,Preprocessor1_Model22
