penalty,mixture,.metric,.estimator,mean,n,std_err,.config
1e-5,0,mae,standard,7.572937843077424,25,0.29568469243439344,Preprocessor1_Model01
1e-5,0,rmse,standard,9.371933547015505,25,0.3479193833487889,Preprocessor1_Model01
1e-5,0,rsq,standard,0.38563570279103493,25,0.03282291504502926,Preprocessor1_Model01
1e-4,0,mae,standard,7.572937843077424,25,0.29568469243439344,Preprocessor1_Model02
1e-4,0,rmse,standard,9.371933547015505,25,0.3479193833487889,Preprocessor1_Model02
1e-4,0,rsq,standard,0.38563570279103493,25,0.03282291504502926,Preprocessor1_Model02
0.001,0,mae,standard,7.572937843077424,25,0.29568469243439344,Preprocessor1_Model03
0.001,0,rmse,standard,9.371933547015505,25,0.3479193833487889,Preprocessor1_Model03
0.001,0,rsq,standard,0.38563570279103493,25,0.03282291504502926,Preprocessor1_Model03
0.01,0,mae,standard,7.572937843077424,25,0.29568469243439344,Preprocessor1_Model04
0.01,0,rmse,standard,9.371933547015505,25,0.3479193833487889,Preprocessor1_Model04
0.01,0,rsq,standard,0.38563570279103493,25,0.03282291504502926,Preprocessor1_Model04
0.1,0,mae,standard,7.572937843077424,25,0.29568469243439344,Preprocessor1_Model05
0.1,0,rmse,standard,9.371933547015505,25,0.3479193833487889,Preprocessor1_Model05
0.1,0,rsq,standard,0.38563570279103493,25,0.03282291504502926,Preprocessor1_Model05
1,0,mae,standard,7.494265029581681,25,0.2894420661353424,Preprocessor1_Model06
1,0,rmse,standard,9.28470407818604,25,0.33922404115090254,Preprocessor1_Model06
1,0,rsq,standard,0.38988806562118083,25,0.03236537497376559,Preprocessor1_Model06
10,0,mae,standard,7.269554880548036,25,0.2892015355884807,Preprocessor1_Model07
10,0,rmse,standard,8.932625179205587,25,0.30043401676192416,Preprocessor1_Model07
10,0,rsq,standard,0.42248738713223266,25,0.030841946645214446,Preprocessor1_Model07
1e-5,0.16666666666666666,mae,standard,8.224207749167746,25,0.3442829213828104,Preprocessor1_Model08
1e-5,0.16666666666666666,rmse,standard,10.118516837273324,25,0.4302829485210246,Preprocessor1_Model08
1e-5,0.16666666666666666,rsq,standard,0.3508498015629085,25,0.036723017458977054,Preprocessor1_Model08
1e-4,0.16666666666666666,mae,standard,8.224207749167746,25,0.3442829213828104,Preprocessor1_Model09
1e-4,0.16666666666666666,rmse,standard,10.118516837273324,25,0.4302829485210246,Preprocessor1_Model09
1e-4,0.16666666666666666,rsq,standard,0.3508498015629085,25,0.036723017458977054,Preprocessor1_Model09
0.001,0.16666666666666666,mae,standard,8.224207749167746,25,0.3442829213828104,Preprocessor1_Model10
0.001,0.16666666666666666,rmse,standard,10.118516837273324,25,0.4302829485210246,Preprocessor1_Model10
0.001,0.16666666666666666,rsq,standard,0.3508498015629085,25,0.036723017458977054,Preprocessor1_Model10
