mtry,trees,min_n,tree_depth,learn_rate,loss_reduction,.metric,.estimator,mean,n,std_err,.config
7,973,7,2,1.023738658164303,7.749663140605473e-10,mae,standard,10.203407532929205,25,0.36332831190514253,Preprocessor1_Model01
7,973,7,2,1.023738658164303,7.749663140605473e-10,rmse,standard,12.52585646200682,25,0.409230594058962,Preprocessor1_Model01
7,973,7,2,1.023738658164303,7.749663140605473e-10,rsq,standard,0.16710511250439145,25,0.03185159946982794,Preprocessor1_Model01
6,984,15,2,1.2330640570125686,7.282859514258675e-7,mae,standard,10.183059993457366,25,0.2579237224679172,Preprocessor1_Model02
6,984,15,2,1.2330640570125686,7.282859514258675e-7,rmse,standard,12.47417405176102,25,0.32421217042751926,Preprocessor1_Model02
6,984,15,2,1.2330640570125686,7.282859514258675e-7,rsq,standard,0.21869559872167058,25,0.02444036494230486,Preprocessor1_Model02
15,395,10,2,1.3728566252864067,0.06755597396891225,mae,standard,10.7420506812934,25,0.49843903495839736,Preprocessor1_Model03
15,395,10,2,1.3728566252864067,0.06755597396891225,rmse,standard,13.122738882997679,25,0.5757693847812795,Preprocessor1_Model03
15,395,10,2,1.3728566252864067,0.06755597396891225,rsq,standard,0.2330628676048069,25,0.03769015357102236,Preprocessor1_Model03
16,397,13,2,1.5524432893370244,1.7493764516583022e-7,mae,standard,11.99895861040533,25,0.43702304223403726,Preprocessor1_Model04
16,397,13,2,1.5524432893370244,1.7493764516583022e-7,rmse,standard,14.785235897581819,25,0.5230149360407379,Preprocessor1_Model04
16,397,13,2,1.5524432893370244,1.7493764516583022e-7,rsq,standard,0.17598928856977608,25,0.028059397319228796,Preprocessor1_Model04
14,454,5,3,1.0950622259577834,4.005484934644372e-5,mae,standard,9.293933516207085,25,0.40974988300382886,Preprocessor1_Model05
14,454,5,3,1.0950622259577834,4.005484934644372e-5,rmse,standard,11.520374471832477,25,0.525540916240249,Preprocessor1_Model05
14,454,5,3,1.0950622259577834,4.005484934644372e-5,rsq,standard,0.28450059459625593,25,0.03890413622506105,Preprocessor1_Model05
6,261,7,3,1.1457039046717314,0.03688911032379382,mae,standard,10.459396309547273,25,0.40722725500058443,Preprocessor1_Model06
6,261,7,3,1.1457039046717314,0.03688911032379382,rmse,standard,12.810144933239544,25,0.48475787505301104,Preprocessor1_Model06
6,261,7,3,1.1457039046717314,0.03688911032379382,rsq,standard,0.18681082803796903,25,0.029640250681472406,Preprocessor1_Model06
14,591,12,3,1.3342334277057342,30.518409928179615,mae,standard,11.45533711689506,25,0.38587591631412954,Preprocessor1_Model07
14,591,12,3,1.3342334277057342,30.518409928179615,rmse,standard,13.983267862500231,25,0.4358871041657932,Preprocessor1_Model07
14,591,12,3,1.3342334277057342,30.518409928179615,rsq,standard,0.18450036689561203,25,0.024635211863507346,Preprocessor1_Model07
7,1217,20,3,1.9799631635154233,0.21879591783860844,mae,standard,22.114843597090225,25,0.8541513104949011,Preprocessor1_Model08
7,1217,20,3,1.9799631635154233,0.21879591783860844,rmse,standard,27.788827877478177,25,1.0692351654396084,Preprocessor1_Model08
7,1217,20,3,1.9799631635154233,0.21879591783860844,rsq,standard,0.08630132022865952,25,0.016354533698301192,Preprocessor1_Model08
16,895,12,4,1.0944389781203965,0.047378739618426154,mae,standard,9.247979597028564,25,0.3752046644171928,Preprocessor1_Model09
16,895,12,4,1.0944389781203965,0.047378739618426154,rmse,standard,11.562580420176934,25,0.4269179731442917,Preprocessor1_Model09
16,895,12,4,1.0944389781203965,0.047378739618426154,rsq,standard,0.26043791755400747,25,0.03538518303709693,Preprocessor1_Model09
11,497,4,4,1.1905093816977892,1.5467791284872245,mae,standard,10.364208904027366,25,0.46700801560150057,Preprocessor1_Model10
11,497,4,4,1.1905093816977892,1.5467791284872245,rmse,standard,12.678010091546755,25,0.5667319192559347,Preprocessor1_Model10
11,497,4,4,1.1905093816977892,1.5467791284872245,rsq,standard,0.229792656781017,25,0.038213841065291736,Preprocessor1_Model10
16,1190,20,4,1.267224848807127,1.229393947264916e-10,mae,standard,9.47933870312849,25,0.3444773130442092,Preprocessor1_Model11
16,1190,20,4,1.267224848807127,1.229393947264916e-10,rmse,standard,11.858799126204884,25,0.4457907463036969,Preprocessor1_Model11
16,1190,20,4,1.267224848807127,1.229393947264916e-10,rsq,standard,0.27597181171824825,25,0.03347484526904649,Preprocessor1_Model11
6,1140,18,4,1.5416076663963216,1.97656366048246e-7,mae,standard,11.769343240755836,25,0.35271962597453826,Preprocessor1_Model12
6,1140,18,4,1.5416076663963216,1.97656366048246e-7,rmse,standard,14.373531049824187,25,0.3479108830759221,Preprocessor1_Model12
6,1140,18,4,1.5416076663963216,1.97656366048246e-7,rsq,standard,0.17400687040880142,25,0.025350746415981913,Preprocessor1_Model12
8,1494,10,4,1.8576406043377867,7.914611528406284e-5,mae,standard,17.60795313035156,25,0.6022484550767416,Preprocessor1_Model13
8,1494,10,4,1.8576406043377867,7.914611528406284e-5,rmse,standard,21.9608012708588,25,0.7861575411574706,Preprocessor1_Model13
8,1494,10,4,1.8576406043377867,7.914611528406284e-5,rsq,standard,0.11104250845855541,25,0.030992054217785746,Preprocessor1_Model13
14,1012,7,4,1.9940444430581925,0.0013880879342215958,mae,standard,24.6193143260479,25,0.8680582033206623,Preprocessor1_Model14
14,1012,7,4,1.9940444430581925,0.0013880879342215958,rmse,standard,30.546249906696204,25,1.0754536341506309,Preprocessor1_Model14
14,1012,7,4,1.9940444430581925,0.0013880879342215958,rsq,standard,0.09452403384334387,25,0.022414023427128726,Preprocessor1_Model14
6,298,10,5,1.070295484861614,7.64927505993181e-6,mae,standard,9.475585693284577,25,0.29192483613765663,Preprocessor1_Model15
6,298,10,5,1.070295484861614,7.64927505993181e-6,rmse,standard,11.767016913245259,25,0.3536910779997692,Preprocessor1_Model15
6,298,10,5,1.070295484861614,7.64927505993181e-6,rsq,standard,0.22570264233310358,25,0.03251680859922513,Preprocessor1_Model15
9,1273,4,5,1.0973214997246235,23.547089463385767,mae,standard,10.28825793094233,25,0.42757777477713155,Preprocessor1_Model16
9,1273,4,5,1.0973214997246235,23.547089463385767,rmse,standard,12.688759862671214,25,0.487308913935217,Preprocessor1_Model16
