feature,mean_abs_shap
slope_mean_pre,1.3344938663335948
mom_median_pre,1.1893934103158803
hferst_rum_pre,1.0344562530517578
bdi_pre,1.0237220766452642
bmi,1.0006822565427194
hferst_accept_pre,0.7539610816882207
hferst_expr_pre,0.6002379128566155
hferst_avoid_pre,0.5868026201541607
bmmr_rev_pre,0.5070839375257492
age,0.10397875767487746
bmmr_dis_pre,0
bmmr_div_pre,0
bmmr_entr_pre,0
bmmr_mw_pre,0
bmmr_sol_pre,0
bmmr_stro_pre,0
bmmr_tot_pre,0
ctq,0
hdrs_pre,0
hferst_expe_pre,0
hferst_prob_pre,0
hferst_reapp_pre,0
hferst_soc_pre,0
icd_f32_0,0
icd_f32_1,0
icd_f32_2,0
icd_f33_0,0
icd_f33_1,0
icd_f33_2,0
icd_f34_1,0
mom_sd_pre,0
study_cohort,0
