feature,mean_abs_shap
mom_mean_pre,7.5863922080774415
bdi_pre,2.503798863946878
bmmr_tot_pre,1.6044501924362762
slope_mean_pre,1.3405368076209192
mom_sd_pre,1.1740086906557452
bmi,1.1700587836040677
hferst_avoid_pre,1.133545007920642
bmmr_div_pre,1.1287612726098333
bmmr_entr_pre,1.0513565055169594
ctq,1.04854734948483
hferst_reapp_pre,1.0424606133809036
bmmr_sol_pre,0.8968043503479968
hferst_rum_pre,0.8295763249712429
hdrs_pre,0.7811515652414026
age,0.7709952498111745
hferst_expr_pre,0.766701183271134
hferst_prob_pre,0.6855481391151746
hferst_accept_pre,0.4752904953456473
bmmr_rev_pre,0.3676083704520916
bmmr_dis_pre,0.29449575046484155
hferst_expe_pre,0.2787516239024271
icd_f34_1,0.1930119638898592
icd_f33_1,0.12370533098991232
hferst_soc_pre,0.109584282805351
bmmr_stro_pre,0.07610876046003368
study_cohort,0.05424829764189948
icd_f33_0,0.04756897463109987
bmmr_mw_pre,0.02083349279154777
group_f_MusicTherapy,0.005673554596148603
icd_f32_0,0
icd_f32_1,0
icd_f32_2,0
icd_f33_2,0
