term,estimate,penalty
mom_mean_pre,4.9578652680811794,1
bdi_pre,3.061201378237453,1
slope_mean_pre,0.9830809801779326,1
group_f_MusicTherapy,-0.8182963952473679,1
icd_f33_0,-0.7182266950008204,1
hdrs_pre,0,1
mom_sd_pre,0,1
age,0,1
bmi,0,1
ctq,0,1
study_cohort,0,1
icd_f32_0,0,1
icd_f32_1,0,1
icd_f32_2,0,1
icd_f33_1,0,1
icd_f33_2,0,1
icd_f34_1,0,1
hferst_accept_pre,0,1
hferst_rum_pre,0,1
hferst_avoid_pre,0,1
hferst_expr_pre,0,1
hferst_expe_pre,0,1
hferst_prob_pre,0,1
hferst_reapp_pre,0,1
hferst_soc_pre,0,1
bmmr_dis_pre,0,1
bmmr_div_pre,0,1
bmmr_entr_pre,0,1
bmmr_mw_pre,0,1
bmmr_sol_pre,0,1
bmmr_rev_pre,0,1
bmmr_stro_pre,0,1
bmmr_tot_pre,0,1
