Variable,Importance
mom_mean_pre,67.05329504732308
bdi_pre,19.214177856934437
icd_f33_0,2.305450131625944
group_f_MusicTherapy,1.4666563638116872
bmmr_dis_pre,1.3595727283729664
bmmr_tot_pre,0.6058880861722147
bmmr_stro_pre,0.46851958681859285
hferst_soc_pre,0.45431441706874726
hferst_avoid_pre,0.1752317358194155
icd_f33_2,0.1690936675148771
icd_f33_1,0.08125296243667357
icd_f32_0,0.06852179457391913
bmmr_rev_pre,0.05640840792362347
hferst_reapp_pre,0.053359666807067226
icd_f32_1,0.03845233279745769
study_cohort,0.016180863150820825
bmmr_mw_pre,-0.022332534294743467
icd_f32_2,-0.06457283394338853
slope_mean_pre,-0.0771308315428824
icd_f34_1,-0.09691366848645742
bmmr_sol_pre,-0.12551763081743086
hferst_accept_pre,-0.18336838028904434
bmmr_div_pre,-0.19528341855968193
hferst_rum_pre,-0.30676303321193676
bmmr_entr_pre,-0.3680451926560546
hferst_prob_pre,-0.42086475828952613
hferst_expr_pre,-0.43799640278992463
hdrs_pre,-0.4726187333961823
mom_sd_pre,-0.5633554108010922
hferst_expe_pre,-0.5871084189066267
age,-0.6911569654044747
bmi,-1.2576581502647228
ctq,-1.6000419211428152
